name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people)
Market Table,No,Yes,4.5/5,546,080 49652848,Koramangala 5th Block,Cafe,"Salads, Healthy Breakfast, Quinoa Salad, Frittata, Pancakes, Smoothie Chocolate, Wheat Roll","Cafe, Continental, Mediterranean, Beverages",900
The Yellow Tuk-Tuk Cafe,Yes,No,3.6/5,16,"+91 9003524204
080 43761969",Koramangala 5th Block,Cafe,,"Cafe, Continental, Beverages",500
Cafe Arabica,No,No,3.8/5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700
Wellness Cafe,No,No,,0,+91 9900459444,Bannerghatta Road,Cafe,,"Cafe, Healthy Food",400
Copper Cafe & Grill,No,No,,0,+91 9620006789,HSR,Cafe,,"Cafe, North Indian, Continental",500
Smack Cafe,No,No,,0,+91 9663076096,Koramangala 1st Block,Cafe,,Cafe,400
D2V Cafe,No,No,3.6/5,13,"+91 9886986111
+91 8550051111",Bannerghatta Road,Cafe,,Cafe,700
Cafe Choco Craze,No,No,3.7/5,9,"080 41713666
+91 8970970108",Bannerghatta Road,Cafe,,"Cafe, Fast Food, Desserts",400
Dipd N Chocolate,Yes,No,NEW,0,+91 7411670557,Koramangala 7th Block,Cafe,,"Cafe, Desserts",300
Maxpresso,Yes,No,4.1/5,323,"080 48902064
+91 9620723546",Koramangala 7th Block,Cafe,"Burgers, Coffee, Waffles, Mocktails, Pasta, Brownie Chocolate, Chicken Salami","Cafe, American, Italian, Beverages",700
The Open Cafe,Yes,No,3.7/5,15,"+91 8105262980
+91 9741191880",HSR,Cafe,,"Cafe, Chinese, Continental",500
Cafe Mist,Yes,No,3.8/5,187,"+91 9742407147
+91 9538519419",JP Nagar,Cafe,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos","Cafe, American, Continental, Italian",500
Insta Cafe,Yes,No,2.9/5,7,"080 43025801
+91 9148121314",BTM,Cafe,,"Cafe, Continental, Pizza, Italian, Beverages",400
Coco Barista,Yes,No,3.7 /5,18,"+91 8105490969
+91 9739086070",BTM,Cafe,,"Cafe, Burger, Rolls, Beverages",400
Bun Town,Yes,No,4.0 /5,207,+91 8026686499,BTM,"Cafe, Bakery","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Donut, Brownie","Cafe, Bakery",500
Chillout,Yes,No,,0,+91 7012057119,BTM,Cafe,,"Burger, Cafe, Pizza, Beverages",200
La Passion Cafe,Yes,No,,0,+91 8217706039,BTM,Cafe,,Cafe,500
Sixth Avenue Cafe And Patisserie,No,No,4.5 /5,210,+91 9020902096,Koramangala 5th Block,"Cafe, Dessert Parlor","Tea, Pasta, Chocolate Bomb, Waffles, Fries, Burgers, Chocolate Lava Cake","Cafe, Italian, Desserts",600
Stoner,Yes,No,4.5 /5,2668,080 49652853,Koramangala 5th Block,"Dessert Parlor, Cafe","Burgers, Caramel Shake, Spinach Pizza, Ferrero Rocher Ice Cream, Butter Chicken, Chocolate Lava Cake, Bbq Burger","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500
Roundup Cafe,Yes,Yes,4.2 /5,589,080 49653438,Koramangala 5th Block,Cafe,"Salad, Coffee, Mocktails, Pizza, Meat Balls, Smoked Tomato Soup, Nachos","Cafe, Continental, Beverages",800
Slate Cafe,Yes,No,4.1 /5,71,+91 8040923832,JP Nagar,Cafe,"Sandwiches, Pasta, Pizza, Fries, Brownie Shake","Cafe, Sandwich, Burger",600
99 Pancakes,Yes,No,4.5 /5,360,080 43729195,Koramangala 5th Block,"Dessert Parlor, Cafe","Pan Cake, Nutella Pancakes, Waffles","Desserts, Beverages, Cafe, Ice Cream",300
Fresh Pressery Cafe,Yes,No,4.1 /5,147,080 41724989,Koramangala 5th Block,Cafe,"Salads, Chicken Sandwich, Sandwiches, Cheesecake, Spaghetti Aglio Olio, Arugula Salad, Cheese Chilli Toast","Cafe, Healthy Food, Salad, Beverages, Desserts","1,200"
Smally's Resto Cafe,Yes,Yes,4.2 /5,1722,"+91 7406772442
+91 7406772332",Koramangala 5th Block,Cafe,"Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken","Cafe, Italian, Burger, American, Steak",650
Crafted Plate,Yes,Yes,4.2 /5,249,"080 43023198
+91 8050088287",JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Lasagne, Pancakes, Paneer Fingers, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600
Maxpresso,No,No,4.1 /5,324,,Koramangala 7th Block,Cafe,"Burgers, Coffee, Waffles, Mocktails, Pasta, Brownie Chocolate, Chicken Salami","Cafe, American, Italian, Beverages",700
Cafe Arabica,No,No,3.8 /5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery, Arabian, Fast Food",700
Tummy Fuel,Yes,No,4.1 /5,450,"+91 9008558558
+91 9845792610",Jayanagar,Cafe,"Sandwiches, Salads, Gol Gappe, Panipuri, Pizza Sandwich, Cheesy Pizza, Lychee Juice","Cafe, Beverages, Fast Food, Street Food",400
Smack Cafe,Yes,No,,0,+91 9663076096,Koramangala 1st Block,Cafe,,Cafe,400
Cafe Choco Craze,No,No,3.7 /5,9,"080 41713666
+91 8970970108",Bannerghatta Road,Cafe,,"Cafe, Fast Food, Desserts",400
Cafe Coffee Day,No,No,3.5 /5,7,+91 9379467259,Jayanagar,Cafe,,"Cafe, Fast Food",900
Dipd N Chocolate,Yes,No,NEW,0,+91 7411670557,Koramangala 7th Block,Cafe,,"Cafe, Desserts",300
Mudpipe Cafe,Yes,Yes,4.5/5,1874,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900
Ruh's Cafe,Yes,No,4.1/5,464,"+91 9986271611
+91 9844803695",BTM,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler","Cafe, American, Italian, Continental, Chinese",500
Cafe Fattoush,Yes,No,3.8/5,24,+91 8880786996,BTM,Cafe,,"Cafe, Lebanese",700
Black Cup Cafe,Yes,No,3.6/5,19,+91 9972567777,BTM,Cafe,,"Cafe, Fast Food, Beverages",400
Hang10 Resto N Cafe,Yes,No,3.8/5,100,"+91 7353222277
+91 7353444477",BTM,Cafe,"Burgers, Chicken Grill, Faluda, French Fries, Sandwich","Cafe, North Indian, Chinese",700
Kullad Cafe,Yes,No,3.9/5,331,"+91 8861570148
+91 9972089231",BTM,Cafe,"Tea, Paratha, Poha, Coffee, Chai, Sandwiches, Maggi","North Indian, Cafe, Fast Food, Beverages",200
Trippy Paradise,Yes,No,2.6/5,60,"+91 9886525634
+91 7406615506",BTM,Cafe,,Cafe,900
On The Nose,Yes,No,3.8/5,613,"080 42008978
+91 9886625960",BTM,Cafe,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup","Cafe, Italian, Mexican, Chinese",600
Brewz Coffee,Yes,No,3.0/5,61,080 41200232,BTM,Cafe,"Coffee, Sandwiches, Cappuccino",Cafe,650
Bakers Town,Yes,No,3.6/5,41,+91 7411103666,BTM,Cafe,"Fries, Pasta, Chicken Burger, Sandwich, Burgers, Monster Burger","Cafe, Continental, Fast Food",600
Cafe Orio,No,No,4.0/5,147,+91 7795442826,BTM,Cafe,"Sandwiches, Oreo Shake, Burgers, Pasta, Veg Burger, Paneer Tikka Sandwich, Oreo Milkshake","Cafe, Fast Food",400
Insta Cafe,Yes,No,2.9/5,7,"080 43025801
+91 9148121314",BTM,Cafe,,"Cafe, Continental, Pizza, Italian, Beverages",400
Chillout,Yes,No,,0,+91 7012057119,BTM,Cafe,,"Burger, Cafe, Pizza, Fast Food",200
La Passion Cafe,Yes,No,,0,+91 8217706039,BTM,Cafe,,Cafe,500
Hearts Unlock Cafe,No,No,3.2/5,11,"+91 9008143437
+91 7259710298",BTM,Cafe,,"Cafe, Healthy Food",500
Cafe Coffee Day,No,No,3.3/5,15,080 65690462,BTM,Cafe,,"Cafe, Fast Food",900
Cafe 221B,Yes,Yes,3.7/5,49,"+91 7899022907
+91 9895765188",BTM,Cafe,,"Cafe, Beverages",300
De Street Cafe,No,No,3.6/5,61,+91 8048534323,BTM,Cafe,"Pasta, Chicken Steak, Burgers, Cold Coffee, Shawarma, Honey Chilli Fries",Cafe,500
Cafe Hush,No,No,3.6/5,22,+91 9113838818,BTM,Cafe,,"Cafe, Fast Food",500
Biggies Burger 'n' More,Yes,No,3.8/5,208,"+91 8041103328
+91 9986123444",BTM,"Cafe, Quick Bites","Burgers, Fries, Hot Dog, Chicken Hotdog, Cuban Mojito, Cheese Burger, Grilled Burger","Cafe, Burger, Beverages",650
PHEW (Play Hard Eat Wild),Yes,Yes,3.9/5,487,+91 9365075799,BTM,Cafe,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700
The 90s Hash House,No,No,3.8/5,63,"080 75961114
+91 9900873434",BTM,Cafe,"Burgers, Pasta, Hot Chocolate, Caramel Coffee",Cafe,500
Eatery Have U Been,Yes,No,3.4/5,35,+91 9743524748,BTM,"Cafe, Quick Bites",,"Cafe, Chinese, Fast Food, Burger, North Indian",500
Cupp,No,No,NEW,0,+91 9633889819,BTM,Cafe,,"Cafe, Fast Food",550
Fabindia Cafe,No,No,4.2/5,221,+91 9880182859,Koramangala 2nd Block,Cafe,"Paneer Roll, Masala Chai, Masala Tea, Aloo Paratha, Chaat, Brownie Chocolate, Methi Paratha","Cafe, Street Food",200
The Yogisthaan Cafe,Yes,No,4.1/5,60,+91 7411160606,Koramangala 2nd Block,Cafe,"Paratha, Chai, Poha, Quinoa Burger","Cafe, Healthy Food, Salad, Beverages",600
Truffles,No,No,4.7/5,14654,"080 41466565
080 41536565",Koramangala 5th Block,"Cafe, Casual Dining","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert","Cafe, American, Burger, Steak",900
Dyu Art Cafe,No,No,4.5/5,3826,"+91 9895674244
+91 9611319774",Koramangala 5th Block,Cafe,"Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie","Cafe, Italian, Fast Food",800
ECHOES Koramangala,No,No,4.7/5,3197,080 49652674,Koramangala 5th Block,"Cafe, Casual Dining","Pasta, Momos, Mezze Platter, Pizza, Waffles, Chocolate Milkshake, Peri Chicken","Chinese, American, Continental, Italian, North Indian",750
Om Made Cafe,No,No,4.0/5,2729,"080 43024010
080 25533369",Koramangala 5th Block,Cafe,"Margarita, Pasta, Mocktails, Lemonade, Bruschettas, Salads, Spaghetti","Cafe, Continental, European, Juices","1,300"
Sixth Avenue Cafe And Patisserie,No,No,4.4/5,159,+91 9020902096,Koramangala 5th Block,"Cafe, Dessert Parlor","Tea, Chocolate Bomb, Waffles, Mojito, Fries, Pasta Alfredo, Burgers","Cafe, Italian, Desserts",600
Hungry Hippie,No,Yes,4.3/5,1463,080 49653231,Koramangala 5th Block,Cafe,"Butter Chicken Pizza, Lamb Burger, Chicken Bao, Vegetable Moussaka, Peri Chicken, Pasta, Pink Lemonade","Cafe, Continental, Italian, Burger",800
Dice N Dine,Yes,Yes,4.3/5,1800,"080 41302255
+91 8105273207",Koramangala 5th Block,"Casual Dining, Cafe","Lasagne, Tiramisu, Virgin Mojito, Chicken Popcorn, Mocktails, Club Chicken Sandwich, Nachos","Continental, Cafe, Italian, Fast Food, Steak",900
Nuts Over Salads Cafe,Yes,Yes,4.4/5,197,"080 25533344
+91 7019629831",Koramangala 5th Block,Cafe,"Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Brownie","Cafe, Salad",800
YORK St.,Yes,No,4.4/5,939,+91 7624945998,Koramangala 5th Block,Cafe,"Beef Steak, Custard, Burgers, Beef Stroganoff, Salad, Sandwich, Sandwiches","Cafe, European, Continental",900
Roundup Cafe,Yes,Yes,4.2/5,468,080 49653438,Koramangala 5th Block,Cafe,"Mocktails, Coffee, Salad, Barbecue Chicken Wings, Pizza, Meat Balls, Hot Chocolate","Cafe, Continental, Beverages",800
Lot Like Crepes,Yes,No,4.7/5,1022,"+91 9742293475
080 65650566",Koramangala 7th Block,"Cafe, Dessert Parlor","Paneer Peri Peri, Pancakes, Fajitas, Sweet Crepe, Peri Peri Chicken, Chicken Breast, Nutella Crepe","Cafe, Desserts, Continental",550
Enerjuvate Studio & Cafe,No,Yes,4.4/5,464,"+91 9741404711
080 48148585",Koramangala 4th Block,Cafe,"Pizza, Healthy Breakfast, Momos, Enchiladas, Aloo Papdi Chaat, Coffee, Tea","Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",800
Market Table,No,Yes,4.5/5,546,080 49652848,Koramangala 5th Block,Cafe,"Salads, Healthy Breakfast, Quinoa Salad, Frittata, Pancakes, Smoothie Chocolate, Wheat Roll","Cafe, Continental, Mediterranean, Beverages",900
Cafe Graffiters,Yes,No,3.8/5,22,+91 9074629989,Koramangala 5th Block,Cafe,,"Cafe, Continental, Beverages",600
Mr. Beans - Home Cafe,Yes,Yes,4.2/5,2709,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
154 Breakfast Club,Yes,Yes,4.0/5,1509,080 25533133,Koramangala 3rd Block,Cafe,"Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette","Cafe, Continental",900
Cafe D'hide,Yes,Yes,4.2/5,869,+91 7204196666,Koramangala 5th Block,Cafe,"Pasta, Coffee, Buffalo Chicken Wings, Caesar Salad, Cheesy Fries, Mojito, Salads","Cafe, American, Continental, Italian",600
Krazy Factory,No,No,4.0/5,431,,Koramangala 5th Block,Cafe,"Sandwiches, Pizza, Burgers, Chicken Wings, Steak, Fries, Noodles","Cafe, Continental, Chinese",
Cafe Medley,Yes,No,4.2/5,1059,"+91 8041160865
+91 9845141475",Koramangala 5th Block,Cafe,"Coffee, Burgers, Pasta, Sandwiches, Mudcake, Chicken Burger, Pizza","Cafe, Continental, Burger",800
Fresh Pressery Cafe,Yes,No,4.1/5,137,080 41724989,Koramangala 5th Block,Cafe,"Salads, Chicken Sandwich, Brownie, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast","Cafe, Healthy Food, Salad, Beverages, Desserts","1,200"
The Vacationer's Cafe,Yes,No,4.1/5,306,"+91 9663420209
080 43705539",Koramangala 7th Block,Cafe,"Nachos, Fries, Pasta, Sizzler Brownie, Masala Chai, Pizza, Burgers","Cafe, Continental, Mexican",600
Bistro Oui,Yes,Yes,4.1/5,400,"+91 9535007412
+91 9972815434",Koramangala 5th Block,"Cafe, Bar","Veg Burger, Pork Ribs, Pizza, Chicken Sandwich, Steak, Burgers, Mushroom Soup","Cafe, Continental, Salad, Steak","1,200"
Smally's Resto Cafe,Yes,Yes,4.2/5,1692,"+91 7406772442
+91 7406772332",Koramangala 5th Block,Cafe,"Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken","Cafe, Italian, Burger, American, Steak",650
The Yellow Tuk-Tuk Cafe,Yes,No,3.6/5,16,"+91 9003524204
080 43761969",Koramangala 5th Block,Cafe,,"Cafe, Continental, Beverages",500
D View Cafe,Yes,No,4.0/5,508,+91 9538943596,JP Nagar,"Cafe, Quick Bites","Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","Cafe, Italian, Chinese, Beverages","1,000"
Crafted Plate,Yes,Yes,4.2/5,239,"080 43023198
+91 8050088287",JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600
Onesta,Yes,Yes,4.4/5,4386,"+91 8904001150
+91 8904001151",JP Nagar,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza","Pizza, Cafe, Italian",600
Chai Galli,Yes,No,4.3/5,480,"+91 9108422723
080 5532224",Koramangala 5th Block,Cafe,"Tea, Chai, Margherita Pizza, Sandwiches, Corn Sandwich, Paneer Parantha, Brownie","Cafe, Tea, Street Food",450
Starbucks,No,No,4.2/5,386,"+91 9663994264
+91 8884678564",JP Nagar,Cafe,"Coffee, Hot Chocolate, Sandwiches, Frappuccino, Hazelnut Latte, Vanilla Latte, Velvet Cake","Cafe, Desserts",700
Tata Cha,Yes,No,3.7/5,31,18001208242,Koramangala 7th Block,Cafe,,"Cafe, Tea, North Indian",500
Stoner,Yes,No,4.5/5,2594,"080 41253030
+91 9849012123",Koramangala 5th Block,"Dessert Parlor, Cafe","Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500
Willys Top Cafe,Yes,No,4.0/5,310,"+91 7795808555
00 09176703991",Jayanagar,Cafe,"Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries","Cafe, Continental, Asian",750
Vitamin Palace,No,No,4.1/5,172,080 25520201,Koramangala 7th Block,Cafe,"Watermelon Juice, Burgers, Pasta, Faluda, Fruit Salad, Coffee, Sandwich","Cafe, Beverages, Healthy Food, Juices",650
Restro Cafe,Yes,No,3.8/5,30,"+91 9740206609
+91 9611828970",Jayanagar,Cafe,,Cafe,400
Breaktime Brew,Yes,No,3.7/5,24,+91 9742347103,Koramangala 7th Block,Cafe,,Cafe,550
WTF,Yes,No,4.1/5,90,080 43758178,Koramangala 5th Block,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake","Cafe, Continental",600
Billionaires Cafe,Yes,No,3.8/5,47,+91 9845553555,Koramangala 5th Block,Cafe,Friendly Staff,"Cafe, Italian",600
Vaho Kafe & Pressery,No,No,3.9/5,124,"+91 9845687999
080 41494199",Bannerghatta Road,Cafe,"Salad, Chicken Curry, Peri Peri Chicken, Thai Red Curry, Momos, Chicken Satay, Pasta","Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",500
Maxpresso,Yes,No,4.1/5,323,"080 48902064
+91 9620723546",Koramangala 7th Block,Cafe,"Burgers, Coffee, Waffles, Mocktails, Pasta, Brownie Chocolate, Chicken Salami","Cafe, American, Italian, Beverages",700
Smoor,Yes,No,4.2/5,99,"+91 7760521107
080 42365939",Koramangala 7th Block,"Dessert Parlor, Cafe","Hot Chocolate, Sandwich, Sushi, Red Velvet, Pumpkin Ravioli, Cajun Fries, Gooey Chocolate Cake","Desserts, Cafe, Beverages",900
Tella Tales,Yes,No,4.2/5,413,+91 8792110657,Koramangala 5th Block,Cafe,"Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries","Cafe, Desserts, Beverages",700
Cafe Arabica,No,No,3.8/5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700
De Oxford Cafe,No,No,3.7/5,34,080 48530740,JP Nagar,Cafe,,"Cafe, Beverages, Fast Food",500
Tummy Fuel,Yes,No,4.2/5,450,"+91 9008558558
+91 9845792610",Jayanagar,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",400
Bun Town,Yes,No,3.8/5,22,00 08043753499,Koramangala 5th Block,Cafe,,"Cafe, Bakery",500
The Cravery,Yes,No,2.6/5,18,+91 8042008011,JP Nagar,Cafe,,Cafe,500
Dhuaan,No,No,3.8/5,109,+91 7406434444,Koramangala 5th Block,Cafe,"Paneer Pizza, Oreo Shake","Cafe, Continental",800
Foodiesthan,Yes,No,3.7/5,59,+91 9845055369,HSR,Cafe,"Masala Chai, Garlic Bread, Oreo Shake","Cafe, Fast Food, North Indian",600
Mug N Bean,Yes,No,3.9/5,247,+91 9035203926,Jayanagar,Cafe,"Maggi, Pasta, Burgers, Grilled Sandwich, Latte, French Fries","Cafe, Continental, Italian, Burger",400
5th Main Cafe,No,No,3.5 /5,15,+91 9886335005,HSR,Cafe,,"Cafe, Fast Food",250
Wellness Cafe,No,No,,0,+91 9900459444,Bannerghatta Road,Cafe,,"Cafe, Healthy Food",400
Cafe Potpourri,Yes,No,3.7/5,132,"+91 8884553680
+91 7026274274",JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",400
Cafe Talk,No,No,3.3/5,14,+91 9739174185,Bannerghatta Road,"Cafe, Casual Dining",,"Cafe, Continental, North Indian, Bakery, Desserts",700
Copper Cafe & Grill,No,No,,0,+91 9620006789,HSR,Cafe,,"Cafe, North Indian, Continental",500
The Eatery Cafe and Restaurant,No,No,,0,+91 7019858014,Koramangala 7th Block,Cafe,,"Cafe, Continental",500
D2V Cafe,No,No,3.6/5,13,"+91 9886986111
+91 8550051111",Bannerghatta Road,Cafe,,Cafe,700
Om's Cafe Prana,No,No,3.6/5,16,+91 9844708137,Koramangala 7th Block,Cafe,,"Cafe, Fast Food",300
Cafe Choco Craze,No,No,3.7/5,9,"080 41713666
+91 8970970108",Bannerghatta Road,Cafe,,"Cafe, Fast Food, Desserts",400
Woodee Pizza,Yes,No,2.7/5,85,+91 7406827272,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500
Cafe Mist,Yes,No,3.8/5,187,"+91 9742407147
+91 9538519419",JP Nagar,Cafe,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos","Cafe, American, Continental, Italian",500
Bistro Oui,Yes,Yes,4.1/5,400,"+91 9535007412
+91 9972815434",Koramangala 5th Block,"Cafe, Bar","Veg Burger, Pork Ribs, Pizza, Chicken Sandwich, Steak, Burgers, Mushroom Soup","Cafe, Continental, Salad, Steak","1,200"
Cafe @ Elanza,No,No,3.7/5,145,"+91 8861300580
080 22233666",Richmond Road,"Casual Dining, Cafe","Breakfast Buffet, Omelette, Lunch Buffet, Pasta","Chinese, North Indian, Cafe","1,000"
BLOW,Yes,Yes,4.3/5,945,080 49653044,Church Street,Cafe,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe","Cafe, Continental, American, Burger",750
Cafe Azzure,Yes,Yes,4.3/5,2669,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200"
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.2/5,382,080 49653126,Ulsoor,Cafe,"Wedges, Maggi, Burgers, Waffles, Margherita Pizza, Aam Panna, Tea","Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500
Brik Oven,No,No,4.6/5,2263,+91 9148100119,Church Street,Cafe,"Garlic Bread, Waffles, Brownie Shake, Cookie Monster Shake, Wood Fire Pizza, Big Bang Shake, Mushroom Pizza","Cafe, Pizza, Beverages","1,100"
The White Room - Coffee & Kitchen,No,Yes,4.0/5,1706,"080 40222999
+91 7406195000",Church Street,Cafe,"Mushroom Quiche, Chicken Quiche, Coffee, Chocolate Milkshake, Caramel Frappe, Espresso, Tea","Cafe, Continental, American, Desserts","1,000"
Matteo Coffea,No,No,4.4/5,2638,080 43336000,Church Street,Cafe,"Coffee, Pasta, Donut, Salads, Choco Brownie Shake, Tiramisu Cheesecake, Sandwiches",Cafe,600
Smally's Resto Cafe,Yes,No,4.3/5,3548,"+91 9986658881
+91 9986658882",Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650
Little Green Cafe,No,No,4.3/5,788,"080 48544183
+91 9686366570",Church Street,"Cafe, Casual Dining","Spaghetti, Mezze Platter, Bombay Sandwich, Tomato Ragout, Mushroom Sandwich, Thai Green Curry, Tea","Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",900
Wolf'ish,Yes,No,4.1/5,461,"+91 9113097489
+91 8041219222",Church Street,Cafe,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken","Cafe, American, Italian, Pizza, Burger",700
Tata Cha,Yes,No,3.9/5,67,18001208242,Church Street,"Beverage Shop, Cafe","Chai, Ginger Tea, Poha, Coffee, Bun Maskas","Cafe, Tea, North Indian",500
Starbucks,No,No,4.1/5,526,,Church Street,Cafe,"Coffee, Java Chip Frappuccino, Brownie, Caramel Frappuccino, Blueberry Muffin, Hot Chocolate, Cappuccino","Cafe, Desserts",700
Cafe 22,No,No,3.0/5,11,"080 25594631
080 25594632",Church Street,Cafe,,"Cafe, Fast Food",700
Rasta,No,No,,0,,Church Street,"Bar, Cafe",,"Continental, Cafe","1,000"
Green Theory,Yes,Yes,4.2/5,2840,"+91 8861435956
080 41663836",Residency Road,"Casual Dining, Cafe","Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,Yes,Yes,4.4/5,693,080 22086644,MG Road,"Casual Dining, Cafe","Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Salad","American, Cafe, Continental","1,700"
Truffles,No,No,4.5/5,3573,080 49652756,St. Marks Road,Cafe,"Burgers, Pasta, Mocktails, Cheese Burger, Ferrero Rocher Milkshake, Peri Chicken, Chicken Paprika","Cafe, American, Burger, Steak",900
Glen's Bakehouse,Yes,No,4.4/5,1093,"080 41124894
080 41126825",Lavelle Road,"Bakery, Cafe","Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie","Bakery, Cafe, Italian, Desserts",600
Cafe Mozaic - Taj MG Road Bengaluru,No,Yes,4.1/5,564,"080 66604266
080 66604444",MG Road,"Casual Dining, Cafe","Paneer Lababdar, Sandwiches, Oysters, Paratha, Coffee, Jeera Rice, Biryani","North Indian, Italian, South Indian, Continental, Cafe, Salad","2,500"
Bengaluru Baking Company - JW Marriott Bengaluru,No,No,4.3/5,523,"+91 9900244769
080 67188511",Lavelle Road,"Bakery, Cafe","Coffee, Fruit Tart, Croissants, Eclair, Sandwich, Nachos, Tiramisu","Salad, Bakery, Cafe, Sandwich, Italian, Burger","1,400"
Japan Travel Cafe Azuki,No,No,4.3/5,67,080 41214342,Residency Road,Cafe,"Miso Soup, Tempura","Cafe, Japanese",400
Cafe Kaara,No,No,4.2/5,164,080 25586860,Ulsoor,Cafe,"Coffee, Cappuccino, Sandwich, Tiramisu, Hot Chocolate, Pasta, Fries","Cafe, Salad, Desserts, Pizza",750
